Organ_system	Subcategory	ICD10Code	ICD10Description
pulmonary	resp	R05.9	Cough, unspecified
pulmonary	resp	R06.00	Dyspnea, unspecified
pulmonary	resp	R06.01	Orthopnea
pulmonary	resp	R06.02	Shortness of breath
pulmonary	resp	R06.03	Acute respiratory distress
pulmonary	resp	R06.09	Other forms of dyspnea
pulmonary	resp	R06.89	Other abnormalities of breathing
pulmonary	resp	R06.9	Unspecified abnormalities of breathing
pulmonary	resp	R07.0	Pain in throat
pulmonary	resp	R09.3	Abnormal sputum
pulmonary	resp	R09.82	Postnasal drip
pulmonary	resp	Z87.01	Personal history of pneumonia (recurrent)
renal	aki	N17.0	Acute kidney failure with tubular necrosis
renal	aki	N17.1	Acute kidney failure with acute cortical necrosis
renal	aki	N17.2	Acute kidney failure with medullary necrosis
renal	aki	N17.8	Other acute kidney failure
renal	aki	N17.9	Acute kidney failure, unspecified
renal	ckd	D63.1	Anemia in chronic kidney disease
renal	ckd	E08.22	Diabetes mellitus due to underlying condition with diabetic chronic kidney disease
renal	ckd	E09.22	Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease
renal	ckd	E10.22	Type 1 diabetes mellitus with diabetic chronic kidney disease
renal	ckd	E11.22	Type 2 diabetes mellitus with diabetic chronic kidney disease
renal	ckd	E13.22	Other specified diabetes mellitus with diabetic chronic kidney disease
renal	ckd	I12.0	Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease
renal	ckd	I12.9	Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
renal	ckd	I13.0	Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
renal	ckd	I13.10	Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
renal	ckd	I13.11	Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease
renal	ckd	I13.2	Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease
renal	ckd	N18.1	Chronic kidney disease, stage 1
renal	ckd	N18.2	Chronic kidney disease, stage 2 (mild)
renal	ckd	N18.3	Chronic kidney disease, stage 3 (moderate)
renal	ckd	N18.30	Chronic kidney disease, stage 3 unspecified
renal	ckd	N18.31	Chronic kidney disease, stage 3a
renal	ckd	N18.32	Chronic kidney disease, stage 3b
renal	ckd	N18.4	Chronic kidney disease, stage 4 (severe)
renal	ckd	N18.5	Chronic kidney disease, stage 5
renal	ckd	N18.6	End stage renal disease
renal	ckd	N18.9	Chronic kidney disease, unspecified
renal	ckd	N25.0	Renal osteodystrophy
renal	ckd	O10.211	Pre-existing hypertensive chronic kidney disease complicating pregnancy, first trimester
renal	ckd	O10.212	Pre-existing hypertensive chronic kidney disease complicating pregnancy, second trimester
renal	ckd	O10.213	Pre-existing hypertensive chronic kidney disease complicating pregnancy, third trimester
renal	ckd	O10.219	Pre-existing hypertensive chronic kidney disease complicating pregnancy, unspecified trimester
renal	ckd	O10.22	Pre-existing hypertensive chronic kidney disease complicating childbirth
renal	ckd	O10.23	Pre-existing hypertensive chronic kidney disease complicating the puerperium
renal	ckd	O10.311	Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, first trimester
renal	ckd	O10.312	Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, second trimester
renal	ckd	O10.313	Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third trimester
renal	ckd	O10.32	Pre-existing hypertensive heart and chronic kidney disease complicating childbirth
renal	ckd	O10.33	Pre-existing hypertensive heart and chronic kidney disease complicating the puerperium
renal	ckd	R88.0	Cloudy (hemodialysis) (peritoneal) dialysis effluent
renal	ckd	Z49.01	Encounter for fitting and adjustment of extracorporeal dialysis catheter
renal	ckd	Z49.02	Encounter for fitting and adjustment of peritoneal dialysis catheter
renal	ckd	Z49.31	Encounter for adequacy testing for hemodialysis
renal	ckd	Z49.32	Encounter for adequacy testing for peritoneal dialysis
renal	ckd	Z91.15	Patient's noncompliance with renal dialysis
renal	ckd	Z91.151	Patient's noncompliance with renal dialysis due to financial hardship
renal	ckd	Z91.158	Patient's noncompliance with renal dialysis for other reason
renal	ckd	Z99.2	Dependence on renal dialysis
renal	other	A36.84	Diphtheritic tubulo-interstitial nephropathy
renal	other	B52.0	Plasmodium malariae malaria with nephropathy
renal	other	E08.21	Diabetes mellitus due to underlying condition with diabetic nephropathy
renal	other	E08.29	Diabetes mellitus due to underlying condition with other diabetic kidney complication
renal	other	E09.21	Drug or chemical induced diabetes mellitus with diabetic nephropathy
renal	other	E09.29	Drug or chemical induced diabetes mellitus with other diabetic kidney complication
renal	other	E10.21	Type 1 diabetes mellitus with diabetic nephropathy
renal	other	E10.29	Type 1 diabetes mellitus with other diabetic kidney complication
renal	other	E11.21	Type 2 diabetes mellitus with diabetic nephropathy
renal	other	E11.29	Type 2 diabetes mellitus with other diabetic kidney complication
renal	other	E13.21	Other specified diabetes mellitus with diabetic nephropathy
renal	other	E13.29	Other specified diabetes mellitus with other diabetic kidney complication
renal	other	N00.0	Acute nephritic syndrome with minor glomerular abnormality
renal	other	N00.1	Acute nephritic syndrome with focal and segmental glomerular lesions
renal	other	N00.3	Acute nephritic syndrome with diffuse mesangial proliferative glomerulonephritis
renal	other	N00.4	Acute nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis
renal	other	N00.5	Acute nephritic syndrome with diffuse mesangiocapillary glomerulonephritis
renal	other	N00.6	Acute nephritic syndrome with dense deposit disease
renal	other	N00.7	Acute nephritic syndrome with diffuse crescentic glomerulonephritis
renal	other	N00.8	Acute nephritic syndrome with other morphologic changes
renal	other	N00.9	Acute nephritic syndrome with unspecified morphologic changes
renal	other	N01.0	Rapidly progressive nephritic syndrome with minor glomerular abnormality
renal	other	N01.1	Rapidly progressive nephritic syndrome with focal and segmental glomerular lesions
renal	other	N01.2	Rapidly progressive nephritic syndrome with diffuse membranous glomerulonephritis
renal	other	N01.3	Rapidly progressive nephritic syndrome with diffuse mesangial proliferative glomerulonephritis
renal	other	N01.4	Rapidly progressive nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis
renal	other	N01.5	Rapidly progressive nephritic syndrome with diffuse mesangiocapillary glomerulonephritis
renal	other	N01.6	Rapidly progressive nephritic syndrome with dense deposit disease
renal	other	N01.7	Rapidly progressive nephritic syndrome with diffuse crescentic glomerulonephritis
renal	other	N01.8	Rapidly progressive nephritic syndrome with other morphologic changes
renal	other	N01.9	Rapidly progressive nephritic syndrome with unspecified morphologic changes
renal	other	N02.0	Recurrent and persistent hematuria with minor glomerular abnormality
renal	other	N02.1	Recurrent and persistent hematuria with focal and segmental glomerular lesions
renal	other	N02.2	Recurrent and persistent hematuria with diffuse membranous glomerulonephritis
renal	other	N02.3	Recurrent and persistent hematuria with diffuse mesangial proliferative glomerulonephritis
renal	other	N02.4	Recurrent and persistent hematuria with diffuse endocapillary proliferative glomerulonephritis
renal	other	N02.5	Recurrent and persistent hematuria with diffuse mesangiocapillary glomerulonephritis
renal	other	N02.6	Recurrent and persistent hematuria with dense deposit disease
renal	other	N02.7	Recurrent and persistent hematuria with diffuse crescentic glomerulonephritis
renal	other	N02.8	Recurrent and persistent hematuria with other morphologic changes
renal	other	N02.9	Recurrent and persistent hematuria with unspecified morphologic changes
renal	other	N03.0	Chronic nephritic syndrome with minor glomerular abnormality
renal	other	N03.1	Chronic nephritic syndrome with focal and segmental glomerular lesions
renal	other	N03.2	Chronic nephritic syndrome with diffuse membranous glomerulonephritis
renal	other	N03.3	Chronic nephritic syndrome with diffuse mesangial proliferative glomerulonephritis
renal	other	N03.4	Chronic nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis
renal	other	N03.5	Chronic nephritic syndrome with diffuse mesangiocapillary glomerulonephritis
renal	other	N03.6	Chronic nephritic syndrome with dense deposit disease
renal	other	N03.7	Chronic nephritic syndrome with diffuse crescentic glomerulonephritis
renal	other	N03.8	Chronic nephritic syndrome with other morphologic changes
renal	other	N03.9	Chronic nephritic syndrome with unspecified morphologic changes
renal	other	N04.0	Nephrotic syndrome with minor glomerular abnormality
renal	other	N04.1	Nephrotic syndrome with focal and segmental glomerular lesions
renal	other	N04.2	Nephrotic syndrome with diffuse membranous glomerulonephritis
renal	other	N04.3	Nephrotic syndrome with diffuse mesangial proliferative glomerulonephritis
renal	other	N04.4	Nephrotic syndrome with diffuse endocapillary proliferative glomerulonephritis
renal	other	N04.5	Nephrotic syndrome with diffuse mesangiocapillary glomerulonephritis
renal	other	N04.6	Nephrotic syndrome with dense deposit disease
renal	other	N04.7	Nephrotic syndrome with diffuse crescentic glomerulonephritis
renal	other	N04.8	Nephrotic syndrome with other morphologic changes
renal	other	N04.9	Nephrotic syndrome with unspecified morphologic changes
renal	other	N05.0	Unspecified nephritic syndrome with minor glomerular abnormality
renal	other	N05.1	Unspecified nephritic syndrome with focal and segmental glomerular lesions
renal	other	N05.2	Unspecified nephritic syndrome with diffuse membranous glomerulonephritis
renal	other	N05.3	Unspecified nephritic syndrome with diffuse mesangial proliferative glomerulonephritis
renal	other	N05.4	Unspecified nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis
renal	other	N05.5	Unspecified nephritic syndrome with diffuse mesangiocapillary glomerulonephritis
renal	other	N05.6	Unspecified nephritic syndrome with dense deposit disease
renal	other	N05.7	Unspecified nephritic syndrome with diffuse crescentic glomerulonephritis
renal	other	N05.8	Unspecified nephritic syndrome with other morphologic changes
renal	other	N05.9	Unspecified nephritic syndrome with unspecified morphologic changes
renal	other	N06.0	Isolated proteinuria with minor glomerular abnormality
renal	other	N06.1	Isolated proteinuria with focal and segmental glomerular lesions
renal	other	N06.2	Isolated proteinuria with diffuse membranous glomerulonephritis
renal	other	N06.3	Isolated proteinuria with diffuse mesangial proliferative glomerulonephritis
renal	other	N06.4	Isolated proteinuria with diffuse endocapillary proliferative glomerulonephritis
renal	other	N06.5	Isolated proteinuria with diffuse mesangiocapillary glomerulonephritis
renal	other	N06.6	Isolated proteinuria with dense deposit disease
renal	other	N06.7	Isolated proteinuria with diffuse crescentic glomerulonephritis
renal	other	N06.8	Isolated proteinuria with other morphologic lesion
renal	other	N06.9	Isolated proteinuria with unspecified morphologic lesion
renal	other	N07.0	Hereditary nephropathy, not elsewhere classified with minor glomerular abnormality
renal	other	N07.1	Hereditary nephropathy, not elsewhere classified with focal and segmental glomerular lesions
renal	other	N07.2	Hereditary nephropathy, not elsewhere classified with diffuse membranous glomerulonephritis
renal	other	N07.3	Hereditary nephropathy, not elsewhere classified with diffuse mesangial proliferative glomerulonephritis
renal	other	N07.4	Hereditary nephropathy, not elsewhere classified with diffuse endocapillary proliferative glomerulonephritis
renal	other	N07.5	Hereditary nephropathy, not elsewhere classified with diffuse mesangiocapillary glomerulonephritis
renal	other	N07.6	Hereditary nephropathy, not elsewhere classified with dense deposit disease
renal	other	N07.7	Hereditary nephropathy, not elsewhere classified with diffuse crescentic glomerulonephritis
renal	other	N07.8	Hereditary nephropathy, not elsewhere classified with other morphologic lesions
renal	other	N07.9	Hereditary nephropathy, not elsewhere classified with unspecified morphologic lesions
renal	other	N08.	Glomerular disorders in diseases classified elsewhere
renal	other	N14.0	Analgesic nephropathy
renal	other	N14.1	Nephropathy induced by other drugs, medicaments and biological substances
renal	other	N14.11	Contrast-induced nephropathy
renal	other	N14.19	Nephropathy induced by other drugs, medicaments and biological substances
renal	other	N14.2	Nephropathy induced by unspecified drug, medicament or biological substance
renal	other	N14.3	Nephropathy induced by heavy metals
renal	other	N14.4	Toxic nephropathy, not elsewhere classified
renal	other	N15.0	Balkan nephropathy
renal	other	N15.8	Other specified renal tubulo-interstitial diseases
renal	other	N15.9	Renal tubulo-interstitial disease, unspecified
renal	other	N16.	Renal tubulo-interstitial disorders in diseases classified elsewhere
renal	other	N19.	Unspecified kidney failure
renal	other	N25.1	Nephrogenic diabetes insipidus
renal	other	N25.89	Other disorders resulting from impaired renal tubular function
renal	other	N25.9	Disorder resulting from impaired renal tubular function, unspecified
renal	other	N26.1	Atrophy of kidney (terminal)
renal	other	N26.2	Page kidney
renal	other	N26.9	Renal sclerosis, unspecified
renal	other	N28.0	Ischemia and infarction of kidney
renal	other	N28.81	Hypertrophy of kidney
renal	other	N28.83	Nephroptosis
renal	other	N28.84	Pyelitis cystica
renal	other	N28.85	Pyeloureteritis cystica
renal	other	N28.86	Ureteritis cystica
renal	other	N28.89	Other specified disorders of kidney and ureter
renal	other	N28.9	Disorder of kidney and ureter, unspecified
renal	other	N29.	Other disorders of kidney and ureter in diseases classified elsewhere
renal	other	N99.0	Postprocedural (acute) (chronic) kidney failure
renal	other	S37.091A	Other injury of right kidney, initial encounter
renal	other	S37.091D	Other injury of right kidney, subsequent encounter
renal	other	S37.091S	Other injury of right kidney, sequela
renal	other	S37.092A	Other injury of left kidney, initial encounter
renal	other	S37.092D	Other injury of left kidney, subsequent encounter
renal	other	S37.092S	Other injury of left kidney, sequela
renal	other	S37.099A	Other injury of unspecified kidney, initial encounter
renal	other	S37.099D	Other injury of unspecified kidney, subsequent encounter
renal	other	S37.099S	Other injury of unspecified kidney, sequela
renal	other	T86.10	Unspecified complication of kidney transplant
